Id,Label,timeset,type,value
aiims,Aiims,,3,784
chief minister,Chief minister,,2,3894
congress,Congress,,3,8810
covid-19,Covid-19,,4,5019
delhi,Delhi,,5,5847
donald trump,Donald trump,,2,2930
gandhi family,Gandhi family,,2,7674
ghulam nabi azad,Ghulam nabi azad,,2,3917
Manmohan Singh,Manmohan Singh,,2,968
america,America,,5,1315
hindu,Hindu,,5,1270
india,India,,5,9347
lok sabha,lok sabha,,3,1618
health minister,Health minister,,3,1971
muslim,Muslim,,4,1100
narendra modi,Narendra modi,,2,3472
obamacare,Obamacare,,1,1086
joe biden,Joe biden,,2,1435
medicaid,Medicaid,,1,827
prime minister,Prime minister,,2,1227
public health,Public health,,4,807
rajya sabha,Rajya sabha,,3,2300
republican,Republican,,3,1399
state government,Sate government,,3,1203
supreme court,Supreme court,,3,1426
uttar pradesh,Uttar pradesh,,5,1748
