Source,Target,Type,Id,Label,timeset,Weight
america,boko haram,Undirected,0,,,36
america,buhari,Undirected,1,,,52
america,bukola saraki,Undirected,2,,,16
america,china,Undirected,3,,,100
america,covid-19,Undirected,4,,,108
america,democratic party,Undirected,5,,,12
america,ebola,Undirected,6,,,32
america,federal government,Undirected,8,,,68
america,health minister,Undirected,9,,,36
america,health sector,Undirected,10,,,40
america,health workers,Undirected,11,,,36
america,kaduna,Undirected,12,,,12
america,lassa fever,Undirected,14,,,4
america,medical association,Undirected,15,,,28
america,national assembly,Undirected,17,,,24
america,national hospital,Undirected,18,,,8
america,news organizations,Undirected,19,,,16
america,nigeria,Undirected,20,,,512
america,progressives congress,Undirected,21,,,16
america,senate committee,Undirected,22,,,32
america,sexual violence,Undirected,23,,,12
america,state government,Undirected,24,,,24
america,Western Africa,Undirected,25,,,200
boko haram,buhari,Undirected,26,,,108
boko haram,bukola saraki,Undirected,27,,,32
boko haram,chibok,Undirected,28,,,88
boko haram,china,Undirected,29,,,40
boko haram,covid-19,Undirected,30,,,16
boko haram,democratic party,Undirected,31,,,64
boko haram,ebola,Undirected,32,,,20
boko haram,federal government,Undirected,34,,,156
boko haram,health sector,Undirected,35,,,4
boko haram,health workers,Undirected,36,,,16
boko haram,kaduna,Undirected,37,,,64
boko haram,lassa fever,Undirected,39,,,12
boko haram,medical association,Undirected,40,,,36
boko haram,national assembly,Undirected,42,,,64
boko haram,national hospital,Undirected,43,,,36
boko haram,news organizations,Undirected,44,,,28
boko haram,nigeria,Undirected,45,,,828
boko haram,progressives congress,Undirected,46,,,80
boko haram,senate committee,Undirected,47,,,24
boko haram,sexual violence,Undirected,48,,,52
boko haram,state government,Undirected,49,,,36
boko haram,Western Africa,Undirected,50,,,176
buhari,bukola saraki,Undirected,51,,,100
buhari,chibok,Undirected,52,,,48
buhari,china,Undirected,53,,,48
buhari,covid-19,Undirected,54,,,104
buhari,democratic party,Undirected,55,,,112
buhari,ebola,Undirected,56,,,40
buhari,federal government,Undirected,58,,,220
buhari,health minister,Undirected,59,,,32
buhari,health sector,Undirected,60,,,84
buhari,health workers,Undirected,61,,,64
buhari,kaduna,Undirected,62,,,120
buhari,lassa fever,Undirected,64,,,8
buhari,medical association,Undirected,65,,,68
buhari,national assembly,Undirected,67,,,200
buhari,national hospital,Undirected,68,,,44
