Source,Target,Type,Id,Label,timeset,Weight
africa,europe,Undirected,2200,5,,191
africa,china,Undirected,2194,5,,163
africa,america,Undirected,2192,5,,155
africa,democratic republic,Undirected,2197,5,,120
africa,world health organization,Undirected,2211,5,,119
africa,ebola,Undirected,2199,5,,115
africa,social media,Undirected,2209,5,,85
africa,india,Undirected,2202,5,,68
africa,international community,Undirected,2203,5,,77
africa,human rights,Undirected,2201,5,,53
america,social media,Undirected,2232,5,,480
america,europe,Undirected,2224,5,,48
africa,australia,Undirected,2193,5,,39
america,china,Undirected,2217,5,,37
africa,sexual violence,Undirected,2208,5,,34
africa,congress,Undirected,2195,5,,32
america,covid-19,Undirected,2220,5,,31
china,europe,Undirected,2269,5,,29
africa,security council,Undirected,2207,5,,28
australia,europe,Undirected,2245,5,,27
america,world health organization,Undirected,2234,5,,27
america,donald trump,Undirected,2222,5,,27
america,congress,Undirected,2219,5,,27
china,india,Undirected,2271,5,,25
africa,new cases,Undirected,2205,5,,25
africa,zawya,Undirected,2212,5,,24
america,india,Undirected,2226,5,,23
europe,india,Undirected,2362,5,,22
africa,covid-19,Undirected,2196,5,,22
covid-19,europe,Undirected,2310,1,,21
china,world health organization,Undirected,2282,5,,21
america,joe biden,Undirected,2227,5,,21
america,australia,Undirected,2215,5,,21
covid-19,india,Undirected,2311,1,,20
australia,china,Undirected,2239,5,,20
europe,social media,Undirected,2369,5,,18
china,covid-19,Undirected,2265,5,,18
democratic republic,social media,Undirected,2332,4,,17
australia,covid-19,Undirected,2242,5,,17
social media,zawya,Undirected,2460,3,,16
australia,social media,Undirected,2255,5,,16
ebola,world health organization,Undirected,2356,1,,15
donald trump,europe,Undirected,2338,2,,15
democratic republic,europe,Undirected,2324,4,,15
covid-19,new cases,Undirected,2315,1,,15
china,ebola,Undirected,2268,5,,15
africa,donald trump,Undirected,2198,5,,15
china,social media,Undirected,2279,5,,14
america,US senator,Undirected,2233,5,,14
covid-19,world health organization,Undirected,2319,1,,13
congress,social media,Undirected,2301,3,,13
australia,india,Undirected,2247,5,,13
india,social media,Undirected,2395,5,,12
covid-19,social media,Undirected,2317,1,,12
congress,europe,Undirected,2291,3,,12
america,ebola,Undirected,2223,5,,12
africa,red cross,Undirected,2206,5,,12
europe,new cases,Undirected,2366,5,,11
europe,human rights,Undirected,2361,5,,11
congress,covid-19,Undirected,2287,3,,11
europe,world health organization,Undirected,2371,5,,9
donald trump,social media,Undirected,2344,2,,9
china,democratic republic,Undirected,2266,5,,9
australia,new cases,Undirected,2250,5,,9
india,world health organization,Undirected,2398,5,,8
india,new cases,Undirected,2390,5,,8
europe,sexual violence,Undirected,2368,5,,8
europe,international community,Undirected,2363,5,,8
democratic republic,zawya,Undirected,2334,4,,8
covid-19,joe biden,Undirected,2312,1,,8
congress,donald trump,Undirected,2289,3,,8
china,international community,Undirected,2272,5,,8
america,new cases,Undirected,2230,5,,8
america,democratic republic,Undirected,2221,5,,8
europe,security council,Undirected,2367,5,,7
donald trump,joe biden,Undirected,2340,2,,7
covid-19,donald trump,Undirected,2308,1,,7
australia,donald trump,Undirected,2244,5,,7
africa,joe biden,Undirected,2204,5,,7
social media,US senator,Undirected,2458,3,,6
new cases,social media,Undirected,2432,1,,6
joe biden,social media,Undirected,2417,2,,6
europe,joe biden,Undirected,2364,5,,6
ebola,international community,Undirected,2351,1,,6
australia,international community,Undirected,2248,5,,6
australia,joe biden,Undirected,2249,5,,6
australia,security council,Undirected,2253,5,,6
australia,sexual violence,Undirected,2254,5,,6
china,joe biden,Undirected,2273,5,,6
congress,democratic republic,Undirected,2288,3,,6
congress,new cases,Undirected,2298,3,,6
australia,red cross,Undirected,2252,5,,6
australia,human rights,Undirected,2246,5,,6
covid-19,US senator,Undirected,2318,1,,6
democratic republic,international community,Undirected,2327,4,,6
democratic republic,security council,Undirected,2330,4,,6
democratic republic,sexual violence,Undirected,2331,4,,6
donald trump,india,Undirected,2339,2,,6
donald trump,world health organization,Undirected,2346,2,,6
human rights,india,Undirected,2376,4,,6
india,international community,Undirected,2387,5,,6
india,joe biden,Undirected,2388,5,,6
international community,security council,Undirected,2403,3,,6
social media,red cross,Undirected,2456,3,,6
new cases,world health organization,Undirected,2433,1,,5
joe biden,US senator,Undirected,2418,2,,5
international community,world health organization,Undirected,2405,3,,5
human rights,sexual violence,Undirected,2381,4,,5
human rights,international community,Undirected,2377,4,,5
democratic republic,india,Undirected,2326,4,,5
congress,world health organization,Undirected,2303,3,,5
congress,india,Undirected,2293,3,,5
china,new cases,Undirected,2275,5,,5
china,donald trump,Undirected,2267,5,,5
china,congress,Undirected,2264,5,,5
