Id,Label,timeset,type,value
america,America,,5,15204
Bernie Sanders,Bernie Sanders,,2,2806
china,China,,5,5293
congress,Congress,,3,21358
covid-19,Covid-19,,4,16934
democrat,Democrat,,3,6226
donald trump,Donald trump,,2,26570
federal government,Federal government,,3,6801
health care,Health care,,1,8917
health insurance,Health insurance,,1,4134
india,India,,5,2933
joe biden,Joe biden,,2,11013
medicaid,Medicaid,,1,10005
medicare,Medicare,,1,8856
obamacare,Obamacare,,1,13014
prevention,Prevention,,1,6757
public health,Public health,,1,5486
Racial Matter,Racial Matter,,4,2247
republican,Republican,,3,16902
state,State,,5,106373
the Clintons,the Clintons,,2,2151
white house,White house,,3,8664
