Source,Target,Type,Id,Label,timeset,Weight
Bernie Sanders,india,Undirected,1672,,,10
Bernie Sanders,federal government,Undirected,1679,,,32
Bernie Sanders,public health,Undirected,1680,,,23
Bernie Sanders,Racial Matter,Undirected,1687,,,20
Bernie Sanders,health insurance,Undirected,1691,,,33
Bernie Sanders,china,Undirected,1694,,,38
Bernie Sanders,covid-19,Undirected,1695,,,58
Bernie Sanders,medicaid,Undirected,1703,,,49
the Clintons,covid-19,Undirected,1712,,,12
the Clintons,public health,Undirected,1713,,,13
the Clintons,prevention,Undirected,1717,,,14
Racial Matter,the Clintons,Undirected,1724,,,16
china,health insurance,Undirected,1725,,,17
prevention,Bernie Sanders,Undirected,1732,,,18
Bernie Sanders,health care,Undirected,1736,,,73
Racial Matter,health insurance,Undirected,1744,,,20
the Clintons,india,Undirected,1746,,,20
health insurance,india,Undirected,1751,,,22
Racial Matter,india,Undirected,1752,,,22
the Clintons,joe biden,Undirected,1755,,,69
state,Racial Matter,Undirected,1760,,,607
the Clintons,health insurance,Undirected,1761,,,24
the Clintons,federal government,Undirected,1768,,,26
india,medicare,Undirected,1769,,,27
democrat,india,Undirected,1772,,,28
Bernie Sanders,republican,Undirected,1776,,,114
joe biden,health insurance,Undirected,1777,,,79
Bernie Sanders,congress,Undirected,1781,,,120
Bernie Sanders,medicare,Undirected,1784,,,99
Bernie Sanders,obamacare,Undirected,1785,,,108
china,medicare,Undirected,1787,,,32
Bernie Sanders,joe biden,Undirected,1793,,,207
health insurance,prevention,Undirected,1797,,,36
china,medicaid,Undirected,1799,,,37
Bernie Sanders,democrat,Undirected,1805,,,89
health insurance,public health,Undirected,1806,,,40
india,medicaid,Undirected,1810,,,42
the Clintons,medicare,Undirected,1811,,,42
health care,india,Undirected,1812,,,43
Bernie Sanders,the Clintons,Undirected,1813,,,112
federal government,india,Undirected,1814,,,44
Racial Matter,obamacare,Undirected,1822,,,46
Racial Matter,white house,Undirected,1823,,,46
Racial Matter,medicare,Undirected,1826,,,47
Bernie Sanders,Bernie Sanders,Undirected,1827,,,48
Racial Matter,federal government,Undirected,1832,,,48
Racial Matter,joe biden,Undirected,1837,,,110
the Clintons,health care,Undirected,1838,,,50
the Clintons,medicaid,Undirected,1839,,,50
Racial Matter,democrat,Undirected,1840,,,51
Racial Matter,public health,Undirected,1844,,,52
Racial Matter,prevention,Undirected,1847,,,53
china,health care,Undirected,1848,,,54
china,the Clintons,Undirected,1850,,,54
Racial Matter,medicaid,Undirected,1854,,,55
india,joe biden,Undirected,1858,,,130
the Clintons,democrat,Undirected,1859,,,57
Racial Matter,china,Undirected,1861,,,58
india,prevention,Undirected,1865,,,62
democrat,health insurance,Undirected,1866,,,63
india,republican,Undirected,1867,,,63
india,public health,Undirected,1874,,,66
india,white house,Undirected,1877,,,67
the Clintons,white house,Undirected,1884,,,68
india,obamacare,Undirected,1886,,,71
health care,joe biden,Undirected,1888,,,175
Bernie Sanders,white house,Undirected,1891,,,74
democrat,public health,Undirected,1896,,,77
health insurance,white house,Undirected,1897,,,77
Racial Matter,health care,Undirected,1899,,,78
china,democrat,Undirected,1901,,,80
medicare,prevention,Undirected,1903,,,82
donald trump,Bernie Sanders,Undirected,1904,,,242
donald trump,india,Undirected,1913,,,199
covid-19,health insurance,Undirected,1914,,,92
democrat,federal government,Undirected,1919,,,96
america,Racial Matter,Undirected,1921,,,99
china,federal government,Undirected,1922,,,100
Racial Matter,republican,Undirected,1926,,,101
democrat,prevention,Undirected,1929,,,103
federal government,joe biden,Undirected,1930,,,244
america,the Clintons,Undirected,1934,,,105
health care,prevention,Undirected,1937,,,107
medicaid,prevention,Undirected,1941,,,109
china,joe biden,Undirected,1942,,,226
joe biden,democrat,Undirected,1944,,,227
covid-19,obamacare,Undirected,1946,,,114
