id,date,zikanews,zikamedia,zikapublication,zikaarticle,monkeypoxnews,monkeypoxmedia,monkeypoxpublication,monkeypoxarticle,mpoxnews,mpoxmedia,mpoxpublication,mpoxarticle,ebolanews,ebolamedia,ebolapublication,ebolaarticle,covidnews,covidmedia,covidpublication,covidarticle
1,2019/6/1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019/7/1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019/8/1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019/9/1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019/10/1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019/11/1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019/12/1,2,5,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020/1/1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020/2/1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020/3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020/4/1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020/5/1,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2020/6/1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2020/7/1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020/8/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2020/9/1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2020/10/1,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
18,2020/11/1,1,0,0,1,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,0
19,2020/12/1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
20,2021/1/1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0,0,0
21,2021/2/1,0,0,1,2,0,0,0,0,0,0,0,0,9,0,2,1,0,0,0,0
22,2021/3/1,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0
23,2021/4/1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,1,0,0,0,0
24,2021/5/1,2,0,0,0,0,0,0,0,0,0,0,0,12,0,29,1,0,0,0,0
25,2021/6/1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
26,2021/7/1,0,0,1,0,0,0,1,0,0,0,0,0,3,7,0,19,0,0,0,0
27,2021/8/1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0
28,2021/9/1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0
29,2021/10/1,0,2,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
30,2021/11/1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0
31,2021/12/1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
32,2022/1/1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
33,2022/2/1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
34,2022/3/1,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0
35,2022/4/1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
36,2022/5/1,0,0,0,0,4,1,4,3,0,0,1,1,5,0,0,1,0,0,0,0
37,2022/6/1,0,0,0,0,12,1,6,2,0,0,1,0,2,0,0,0,0,0,0,0
38,2022/7/1,0,0,0,1,8,3,5,4,0,0,0,1,1,0,1,1,0,0,0,0
39,2022/8/1,0,0,0,0,6,2,8,3,0,0,0,0,3,0,5,1,0,0,0,0
40,2022/9/1,2,0,0,1,12,4,7,2,0,0,0,0,8,0,1,3,42,5,27,12
41,2022/10/1,0,0,0,0,8,2,8,0,0,0,0,0,8,0,3,3,48,3,32,23
42,2022/11/1,1,0,0,0,5,0,6,1,2,0,0,0,6,0,6,3,35,2,17,16
43,2022/12/1,0,0,0,0,4,0,0,0,6,0,4,0,6,0,8,2,30,0,11,10
44,2023/1/1,0,0,0,0,1,0,0,1,4,0,2,1,5,0,4,15,31,0,9,12
45,2023/2/1,0,0,1,1,2,0,0,0,3,1,2,2,4,0,2,2,21,0,13,10
46,2023/3/1,0,0,0,0,0,0,1,1,3,2,6,1,8,0,0,3,30,7,16,19
47,2023/4/1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9,1,2,3
