Source,Target,Type,Id,Label,timeset,Weight
supreme court,uttar pradesh,Undirected,1087,,,33
state government,uttar pradesh,Undirected,1124,,,45
state government,supreme court,Undirected,1082,,,32
republican,supreme court,Undirected,1134,,,52
republican,gandhi family,Undirected,917,,,13
republican,state government,Undirected,994,,,12
republican,Manmohan Singh,Undirected,940,,,5
republican,uttar pradesh,Undirected,892,,,1
rajya sabha,gandhi family,Undirected,1205,,,303
rajya sabha,uttar pradesh,Undirected,1159,,,68
rajya sabha,Manmohan Singh,Undirected,1127,,,46
rajya sabha,supreme court,Undirected,1123,,,45
rajya sabha,state government,Undirected,1086,,,33
rajya sabha,donald trump,Undirected,993,,,28
rajya sabha,republican,Undirected,891,,,1
public health,republican,Undirected,1085,,,33
public health,state government,Undirected,1007,,,14
public health,supreme court,Undirected,992,,,12
public health,uttar pradesh,Undirected,975,,,10
public health,Manmohan Singh,Undirected,952,,,7
prime minister,rajya sabha,Undirected,1115,,,42
prime minister,uttar pradesh,Undirected,1081,,,32
prime minister,Manmohan Singh,Undirected,1051,,,23
prime minister,supreme court,Undirected,1042,,,21
prime minister,state government,Undirected,991,,,12
prime minister,republican,Undirected,967,,,9
prime minister,public health,Undirected,959,,,8
obamacare,republican,Undirected,1223,,,132
obamacare,public health,Undirected,1050,,,23
obamacare,supreme court,Undirected,1034,,,19
obamacare,prime minister,Undirected,938,,,5
obamacare,state government,Undirected,930,,,4
obamacare,Manmohan Singh,Undirected,906,,,2
narendra modi,rajya sabha,Undirected,1234,,,142
narendra modi,uttar pradesh,Undirected,1217,,,124
narendra modi,prime minister,Undirected,1207,,,108
narendra modi,donald trump,Undirected,1074,,,66
narendra modi,Manmohan Singh,Undirected,1145,,,62
narendra modi,supreme court,Undirected,1140,,,58
narendra modi,state government,Undirected,1133,,,52
narendra modi,public health,Undirected,1040,,,21
narendra modi,obamacare,Undirected,958,,,8
narendra modi,republican,Undirected,951,,,7
muslim,narendra modi,Undirected,1142,,,59
muslim,rajya sabha,Undirected,1112,,,40
muslim,supreme court,Undirected,1069,,,28
muslim,uttar pradesh,Undirected,1070,,,28
muslim,prime minister,Undirected,1027,,,18
muslim,Manmohan Singh,Undirected,1017,,,16
muslim,state government,Undirected,1012,,,15
muslim,republican,Undirected,972,,,10
muslim,obamacare,Undirected,965,,,9
muslim,public health,Undirected,957,,,8
medicaid,republican,Undirected,1204,,,103
medicaid,obamacare,Undirected,1196,,,95
medicaid,supreme court,Undirected,1039,,,21
medicaid,public health,Undirected,1033,,,19
medicaid,state government,Undirected,929,,,4
medicaid,prime minister,Undirected,916,,,3
medicaid,narendra modi,Undirected,884,,,1
Manmohan Singh,gandhi family,Undirected,1104,,,122
Manmohan Singh,uttar pradesh,Undirected,1113,,,41
Manmohan Singh,state government,Undirected,1061,,,25
Manmohan Singh,supreme court,Undirected,1036,,,20
Manmohan Singh,donald trump,Undirected,915,,,7
joe biden,republican,Undirected,1172,,,77
joe biden,supreme court,Undirected,1114,,,42
joe biden,medicaid,Undirected,1108,,,39
joe biden,public health,Undirected,1103,,,37
joe biden,obamacare,Undirected,1097,,,35
joe biden,health minister,Undirected,1005,,,31
joe biden,prime minister,Undirected,1032,,,19
joe biden,narendra modi,Undirected,950,,,7
joe biden,gandhi family,Undirected,943,,,6
joe biden,state government,Undirected,935,,,5
joe biden,ghulam nabi azad,Undirected,882,,,3
joe biden,lok sabha,Undirected,913,,,3
joe biden,muslim,Undirected,914,,,3
joe biden,rajya sabha,Undirected,902,,,2
joe biden,uttar pradesh,Undirected,903,,,2
joe biden,Manmohan Singh,Undirected,883,,,1
india,narendra modi,Undirected,1288,,,540
india,lok sabha,Undirected,1277,,,353
india,rajya sabha,Undirected,1276,,,352
india,uttar pradesh,Undirected,1266,,,239
india,state government,Undirected,1256,,,187
india,prime minister,Undirected,1250,,,176
india,supreme court,Undirected,1251,,,176
india,joe biden,Undirected,1153,,,147
india,muslim,Undirected,1232,,,138
india,Manmohan Singh,Undirected,1228,,,136
india,public health,Undirected,1218,,,126
india,republican,Undirected,1167,,,73
india,obamacare,Undirected,1151,,,65
india,medicaid,Undirected,1045,,,22
hindu,india,Undirected,1261,,,222
hindu,narendra modi,Undirected,1185,,,86
hindu,muslim,Undirected,1132,,,52
