Id,Label,timeset,type,value
africa,Africa,,5,2910
america,America,,5,597
australia,Australia,,5,231
china,China,,5,405
congress,Congress,,3,147
covid-19,Covid-19,,4,217
democratic republic,Democratic republic,,4,213
donald trump,Donald trump,,2,129
ebola,Ebola,,4,177
europe,Europe,,5,506
human rights,Human rights,,4,104
india,India,,5,243
international community,International community,,3,108
joe biden,Joe biden,,2,89
new cases,New cases,,4,104
red cross,Red cross,,3,28
security council,Security council,,3,61
sexual violence,Sexual violence,,4,70
social media,Social media,,3,353
US senator,US senator,,2,48
world health organization,World health organization,,3,250
zawya,Zawya,,3,50
